storeName,address1,city,stateCode,postal,latitude,longitude
The Promenade at Chenal,17711 Chenal Parkway,Little Rock,AR,72223,34.76635,-92.45902
Chandler Fashion Center,3111 W Chandler Boulevard,Chandler,AZ,85226,33.302255,-111.89969
The Fashion Mall at Keystone,8702 Keystone Crossing,Indianapolis,IN,46240,39.9141,-86.11181
Arden Fair,1689 Arden Way,Sacramento,CA,95815,38.601039,-121.426442
Upper West Side,1981 Broadway,New York,NY,10023,40.7750722222222,-73.9825952907363
Highland Village,4012 Westheimer Road,Houston,TX,77027,29.74197,-95.44574
Christiana Mall,125 Christiana Mall,Newark,DE,19702,39.679231,-75.653211
Natick,1245 Worcester Street,Natick,MA,01760,42.301522,-71.383724
SoNo Collection,100 N. Water Street,Norwalk,CT,06854,41.1058,-73.4185
North County,272 E Via Rancho Parkway,Escondido,CA,92025,33.07109,-117.06626
Suburban Square,61 St. James Place,Ardmore,PA,19003,40.00884,-75.28786
The Summit,217 Summit Boulevard,Birmingham,AL,35243,33.44801152,-86.72851362
Columbia,10300 Little Patuxent Parkway,Columbia,MD,21044,39.216,-76.85995
University Park Mall,6501 North Grape Road,Mishawaka,IN,46545,41.71847,-86.19101
Legacy Place,508 Legacy Place ,Dedham,MA,02026,42.2308727436183,-71.1783933202552
The Grove,189 The Grove Drive,Los Angeles,CA,90036,34.07143,-118.357469
Oxmoor,7900 Shelbyville Road,Louisville,KY,40222,38.247278,-85.609467
Staten Island,2655 Richmond Avenue,Staten Island,NY,10314,40.582432,-74.165837
Upper East Side,940 Madison Avenue,New York,NY,10021,40.773584,-73.964542
El Paseo Village,73445 El Paseo,Palm Desert,CA,92260,33.719631,-116.383301
Cumberland Mall,2860 Cumberland Mall,Atlanta,GA,30339,33.88024,-84.46835
